fileNumber,accessionNumber,countFilings,countAmendments,countProgressUpdates,latestProgressUpdate,quarter,companyAge,initialTargetOffering,finalTargetOffering,initialCampaignDeadline,finalCampaignDeadline,unknownProgressUpdate,raisedAmount,securityOfferedType,noOfSecurityOffered,price,oversubscriptionAccepted,oversubscriptionAllocationType,maximumOfferingAmount,currentEmployees,totalAssetMostRecentFiscalYear,totalAssetPriorFiscalYear,cashEqMostRecentFiscalYear,cashEqPriorFiscalYear,accountsReceivedRecentFiscalYear,accountsReceivedPriorFiscalYear,shortTermDebtMRecentFiscalYear,shortTermDebtPriorFiscalYear,longTermDebtRecentFiscalYear,longTermDebtPriorFiscalYear,revenueMostRecentFiscalYear,revenuePriorFiscalYear,costGoodsSoldRecentFiscalYear,costGoodsSoldPriorFiscalYear,taxPaidMostRecentFiscalYear,taxPaidPriorFiscalYear,netIncomeMostRecentFiscalYear,netIncomePriorFiscalYear,issuerName,legalStatusForm,dateIncorporation,city,stateOrCountry,zipCode,issuerWebsite,filingDate,IntermediaryName,state (US),Country,Platform
020-26877,0001822811-20-000001,2,1,0,unknown,3Q,411,25000,25000,2020-12-28,2020-12-28,1,0.00,Other,25000,1,Y,Other,250000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HILOS, INC.",Corporation,2019-07-17,Portland,OR,97209,www.hilos.co,2020-08-31,MicroVenture Marketplace Inc.,OREGON,United States,MicroVenture Marketplace Inc.
020-26780,0001746059-20-000254,5,3,0,unknown,3Q,838,100000,100000,2020-10-30,2021-06-21,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coolship.IO, LLC",Limited Liability Company,2018-05-03,SOMERVILLE,MA,2144,food.art.beer,2020-08-18,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-27575,0001746059-21-000067,3,1,0,unknown,1Q,731,100000,100000,2021-04-21,2021-04-21,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mushin Bar, LLC",Limited Liability Company,2019-02-04,OAKLAND,CA,94612,https://www.mushinsportslounge.com/pages/the-,2021-02-04,"MainVest, Inc.",CALIFORNIA,United States,"MainVest, Inc."
020-29836,0001746059-22-000102,2,0,0,unknown,1Q,183,100000,100000,2022-05-06,2022-05-06,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Social LLC,Limited Liability Company,2021-09-12,ANN ARBOR,MI,48103,https://www.thesocial.one/,2022-03-14,"MainVest, Inc.",MICHIGAN,United States,"MainVest, Inc."
020-27048,0001746059-20-000329,2,0,0,unknown,4Q,159,100000,100000,2020-12-09,2020-12-09,1,0.00,Debt,,1,Y,"First-come, first-served basis",250000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Biker Beer Brewers, LLC",Limited Liability Company,2020-05-09,NORTH SALT LAKE,UT,84054,https://facebook.com/Bikerbeerbrewers,2020-10-15,"MainVest, Inc.",UTAH,United States,"MainVest, Inc."
020-27219,0001833050-20-000001,4,2,0,unknown,4Q,399,60000,15000,2021-01-12,2021-02-23,1,0.00,Debt,,1,Y,"First-come, first-served basis",225000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DSC Hospitality LLC,Limited Liability Company,2019-10-17,DETROIT,MI,48216,www.dschospitality.com,2020-11-19,Honeycomb Portal LLC,MICHIGAN,United States,Honeycomb Portal LLC
020-28189,0001746059-21-000258,3,1,0,unknown,2Q,414,75000,75000,2021-08-04,2021-08-04,1,0.00,Debt,,1,Y,"First-come, first-served basis",200000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Serene Drops, LLC",Limited Liability Company,2020-04-15,COMSTOCK PARK,MI,49321,https://www.serenedrops.com,2021-06-03,"MainVest, Inc.",MICHIGAN,United States,"MainVest, Inc."
020-27146,0001831343-20-000001,4,2,0,unknown,4Q,385,70000,30000,2020-12-29,2021-01-19,1,0.00,Debt,,1,Y,"First-come, first-served basis",170000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LBBC Holdings LLC,Limited Liability Company,2019-10-17,TROY,MI,48084,www.littlebiscuitbrewery.com,2020-11-05,Honeycomb Portal LLC,MICHIGAN,United States,Honeycomb Portal LLC
020-29446,0001746059-21-000633,2,0,0,unknown,4Q,690,75000,75000,2022-02-25,2022-02-25,1,0.00,Debt,,1,Y,"First-come, first-served basis",150000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eiser International, LLC",Limited Liability Company,2020-02-06,DULUTH,MA,30097,https://www.resiesrestaurant.com/,2021-12-27,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-31338,0001746059-22-000405,2,0,0,unknown,4Q,120,50000,50000,2023-01-13,2023-01-13,1,0.00,Debt,,1,Y,"First-come, first-served basis",124000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Herblo OKC, Inc.",Corporation,2022-07-20,OKLAHOMA CITY,OK,73129,www.herbloco.com,2022-11-17,"MainVest, Inc.",OKLAHOMA,United States,"MainVest, Inc."
020-31970,0001746059-23-000064,2,0,0,unknown,1Q,178,45000,45000,2023-05-12,2023-05-12,1,0.00,Debt,,1,Y,"First-come, first-served basis",124000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cactus Blossom Cantina, LLC",Limited Liability Company,2022-09-13,BENNINGTON,VT,5201,http://cactusblossomcantina.com,2023-03-10,"MainVest, Inc.",VERMONT,United States,"MainVest, Inc."
020-30242,0001746059-22-000207,2,0,0,unknown,2Q,211,50000,50000,2022-08-05,2022-08-05,1,0.00,Debt,,1,Y,"First-come, first-served basis",120000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TEXAS CATRINAS GROUP, LLC",Limited Liability Company,2021-10-27,FRISCO,TX,75033,https://www.instagram.com/pink.catrina.ck/,2022-05-26,"MainVest, Inc.",TEXAS,United States,"MainVest, Inc."
020-25052,0001668287-18-000092,2,0,0,unknown,4Q,307,90000,90000,2019-10-13,2019-10-13,1,0.00,Other,90000,1,Y,Pro-rata basis,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TAPtical Design LLC,Limited Liability Company,2018-02-27,Virginia Beach,VA,23462,gettaptical.com,2018-12-31,Razitall Inc,VIRGINIA,United States,others
020-25327,0001668287-19-000012,4,2,0,unknown,2Q,147,85000,85000,2020-02-01,2021-04-01,1,0.00,Other,85000,1,Y,Pro-rata basis,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Plugsby, LLC",Limited Liability Company,2018-11-26,LOS ANGELES,CA,90007,www.plugsby.com,2019-04-22,Razitall Inc,CALIFORNIA,United States,others
020-25540,0001670254-19-000442,1,0,0,unknown,3Q,576,55000,55000,2019-11-28,2019-11-28,1,0.00,Other,55000,1,Y,Other,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ThanksForGiving The Movie, LLC",Limited Liability Company,2018-01-03,Los Angeles,CA,90048,http://www.thanksforgivingthemovie.com,2019-08-02,Wefunder Portal LLC,CALIFORNIA,United States,Wefunder Portal LLC
020-25417,0001668287-19-000021,1,0,0,unknown,2Q,2,55000,55000,2020-03-17,2020-03-17,1,0.00,Other,55000,1,Y,Pro-rata basis,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"THE GAME THAT CHANGED COLLEGE BASKETBALL, LLC",Limited Liability Company,2019-06-04,University Park,MD,20782,www.nubiafilmworks.com/,2019-06-06,Razitall Inc,MARYLAND,United States,others
020-23759,0001715895-17-000001,4,2,0,unknown,4Q,517,25000,25000,2017-12-31,2018-02-28,1,0.00,Other,25000,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coding Autism, LLC",Limited Liability Company,2016-06-14,Saratoga,CA,95070,www.codingautism.com,2017-11-13,Republic,CALIFORNIA,United States,Republic
020-24384,0001742846-18-000001,4,2,0,unknown,2Q,455,25000,25000,2018-12-31,2018-12-31,1,0.00,Other,25000,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BelleIQ,Inc.",Corporation,2017-03-20,NEW YORK,NY,10016,www.skinallies.com,2018-06-18,Republic,NEW YORK,United States,Republic
020-24289,0001665160-18-000467,2,1,0,unknown,2Q,211,10000,10000,2018-08-22,2018-08-22,1,0.00,Common Stock,10000,1,Y,Other,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EscoBoss, Inc.",Corporation,2017-10-23,glendale,CA,91204,www.escoboss.com,2018-05-22,StartEngine,CALIFORNIA,United States,StartEngine
020-24736,0001665160-18-000996,4,1,0,unknown,3Q,52,10000,10000,2018-12-26,2019-02-25,1,0.00,Other,10000,1,Y,Other,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Timeburst, LLC",Limited Liability Company,2018-08-06,Pharr,TX,78577,www.timeburst.com,2018-09-27,StartEngine,TEXAS,United States,StartEngine
020-24915,0001665160-18-001243,1,0,0,unknown,4Q,392,10000,10000,2019-02-14,2019-02-14,1,0.00,Common Stock,2500,4,Y,Other,107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EscoBoss, Inc.",Corporation,2017-10-23,glendale,CA,91204,www.escoboss.com,2018-11-19,StartEngine,CALIFORNIA,United States,StartEngine
020-26053,0001746059-20-000021,2,0,0,unknown,1Q,318,80000,80000,2020-03-18,2020-03-18,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INFIN8 SKATES ROLLER RINK INC.,Corporation,2019-03-15,BRONX,NY,10472,www.infin8skatesrollerrink.com,2020-01-27,"MainVest, Inc.",NEW YORK,United States,"MainVest, Inc."
020-27486,0001746059-21-000031,2,0,0,unknown,1Q,15,75000,75000,2021-04-07,2021-04-07,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SWANDIVETUCSON, LLC",Limited Liability Company,2021-01-05,ORO VALLEY,AZ,85755,www.swandivetucson.com,2021-01-20,"MainVest, Inc.",ARIZONA,United States,"MainVest, Inc."
020-29904,0001746059-22-000113,2,0,0,unknown,1Q,107,60000,60000,2022-06-24,2022-06-24,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DORAGON PROVISIONS, INC",Corporation,2021-12-07,ASHLAND,MA,1721,provisionstrading.com,2022-03-24,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-25604,0001746059-19-000026,2,0,0,unknown,3Q,17,60000,60000,2019-11-13,2019-11-13,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wicked Good Food LLC,Limited Liability Company,2019-08-12,DORCHESTER,MA,2124,https://buff-a-love.com/,2019-08-29,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-29902,0001746059-22-000112,2,0,0,unknown,1Q,79,59000,59000,2022-05-27,2022-05-27,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAX Food Hall, LLC",Limited Liability Company,2022-01-04,LA CROSSE,WI,54601,https://www.laxfoodhall.com/,2022-03-24,"MainVest, Inc.",WISCONSIN,United States,"MainVest, Inc."
020-28182,0001746059-21-000253,3,1,0,unknown,2Q,16,100000,50000,2021-07-30,2021-10-29,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CCS Worldwide, LLC",Limited Liability Company,2021-05-17,NEW YORK,NY,10033,www.facebook.com/Kizin-lakay,2021-06-02,"MainVest, Inc.",NEW YORK,United States,"MainVest, Inc."
020-25382,0001774172-19-000001,2,0,0,unknown,2Q,127,50000,50000,2019-07-31,2019-07-31,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"APEX PERFORMANCE & COMBATIVES, LLC",Limited Liability Company,2019-01-10,WOBURN,MA,1801,http://apexperformancecombatives.com/,2019-05-17,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-27578,0001746059-21-000068,2,0,0,unknown,1Q,2,50000,50000,2021-04-28,2021-04-28,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fork & Fire's Neighborhood Wings, LLC",Limited Liability Company,2021-02-02,ORO VALLEY,AZ,85737,https://www.forknfire.com/,2021-02-04,"MainVest, Inc.",ARIZONA,United States,"MainVest, Inc."
020-26659,0001746059-20-000210,2,0,0,unknown,3Q,17,35000,35000,2020-10-14,2020-10-14,1,0.00,Debt,,1,Y,"First-come, first-served basis",107000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daughter Food Group LLC,Limited Liability Company,2020-06-30,BROOKLYN,NY,11237,daughter.nyc,2020-07-17,"MainVest, Inc.",NEW YORK,United States,"MainVest, Inc."
020-25006,0001665160-18-001351,1,0,0,unknown,4Q,217,9999.96,9999.96,2019-03-14,2019-03-14,1,0.00,Common Stock,83333,0.12,Y,Other,106999.92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Medblocs, Inc.",Corporation,2018-05-10,Cary,NC,27519,https://www.medblocs.io,2018-12-13,StartEngine,NORTH CAROLINA,United States,StartEngine
020-28524,0001669191-21-000762,2,1,0,unknown,3Q,56,10000.31,10000.31,2021-10-04,2021-12-10,1,0.00,Common Stock,24391,0.41,Y,"First-come, first-served basis",106999.75,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NanoMed Tracking, Inc.",Corporation,2021-06-09,San Diego,CA,92128,www.nanomedtracking.com,2021-08-04,NetCapital Funding Portal Inc.,CALIFORNIA,United States,NetCapital Funding Portal Inc.
020-29530,0001520512-22-000001,4,0,0,unknown,1Q,4238,10000,10000,2022-07-22,2022-07-22,1,0.00,Other,1000,10,Y,Other,100000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,il2m INTERNATIONAL CORP.,Corporation,2010-06-08,BURBANK,CA,91505,www.nwtechcapital.us/,2022-01-14,truCrowd,CALIFORNIA,United States,others
020-27724,0001746059-21-000099,2,0,0,unknown,1Q,83,50000,50000,2021-05-12,2021-05-12,1,0.00,Debt,,1,Y,"First-come, first-served basis",100000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Coach Eatery Co.,Corporation,2020-12-08,STERLING,VA,37115,https://www.instagram.com/thecoach_eatery/,2021-03-01,"MainVest, Inc.",VIRGINIA,United States,"MainVest, Inc."
020-28366,0001869557-21-000001,1,0,0,unknown,3Q,133,40000,40000,2021-09-07,2021-09-07,1,0.00,Debt,,1,Y,"First-come, first-served basis",100000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reverend Motors LLC,Limited Liability Company,2021-02-26,BREA,CA,92821,reverendmotors.com,2021-07-09,Honeycomb Portal LLC,CALIFORNIA,United States,Honeycomb Portal LLC
020-27155,0001746059-20-000374,2,0,0,unknown,4Q,121,25000,25000,2021-01-20,2021-01-20,1,0.00,Debt,,1,Y,"First-come, first-served basis",100000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coliseum Dreams, LLC",Limited Liability Company,2020-07-08,LEXINGTON,KY,40502,http://ranadaskitchen.com,2020-11-06,"MainVest, Inc.",KENTUCKY,United States,"MainVest, Inc."
020-26971,0001746059-20-000301,2,0,0,unknown,3Q,417,50000,50000,2020-12-02,2020-12-02,1,0.00,Debt,,1,Y,"First-come, first-served basis",90000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Chief Brewing, LLC",Limited Liability Company,2019-08-08,HORSHAM,PA,19044,http://bigchiefbrewing.com/,2020-09-28,"MainVest, Inc.",PENNSYLVANIA,United States,"MainVest, Inc."
020-27858,0001746059-21-000134,3,1,0,unknown,1Q,295,20000,10000,2021-05-26,2021-07-28,1,0.00,Debt,,1,Y,"First-come, first-served basis",60000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STiX Crafthouse,Limited Liability Company,2020-06-04,DENVER,CO,80216,https://stixcrafthouse.com/,2021-03-26,"MainVest, Inc.",COLORADO,United States,"MainVest, Inc."
020-28390,0001746059-21-000342,2,0,0,unknown,3Q,110,30000,30000,2021-09-13,2021-09-13,1,0.00,Debt,,1,Y,"First-come, first-served basis",50000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brothers Taphouse LLC,Limited Liability Company,2021-03-25,LINCOLN,CA,95648,https://brothers-taphouse.com/,2021-07-13,"MainVest, Inc.",CALIFORNIA,United States,"MainVest, Inc."
020-30031,0001921727-22-000001,2,1,0,unknown,2Q,62,25000,25000,2022-05-30,2022-05-30,1,0.00,Debt,,1,Y,"First-come, first-served basis",50000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Overspray Art Supply & Gallery, Inc.",Limited Liability Company,2022-02-10,POMONA,CA,91767,www.overspraysupply.com,2022-04-13,Honeycomb Portal LLC,CALIFORNIA,United States,Honeycomb Portal LLC
020-26022,0001746059-20-000012,3,1,0,unknown,1Q,372,20000,10000,2020-03-11,2020-04-11,1,0.00,Debt,,1,Y,"First-come, first-served basis",50000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TB Duvall, LLC",Limited Liability Company,2019-01-09,MURFREESBORO,TN,37130,morningbrewboro.com,2020-01-16,"MainVest, Inc.",TENNESSEE,United States,"MainVest, Inc."
020-24782,0001751745-18-000001,1,0,0,unknown,4Q,80,15000,15000,2018-12-19,2018-12-19,1,0.00,Debt,,1,Y,"First-come, first-served basis",40000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3BM LLC,Limited Liability Company,2018-07-23,PITTSBURGH,PA,15211,www.202hometowntacos.com,2018-10-11,Honeycomb Portal LLC,PENNSYLVANIA,United States,Honeycomb Portal LLC
020-24531,0001746291-18-000003,3,2,0,unknown,3Q,151,395109,395108,2018-11-09,2019-01-25,1,0.00,Common Stock,136700,2.89,N,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DWEALTH LLC,Limited Liability Company,2018-03-01,HOUSTON,TX,77067,www.mydwealth.com,2018-07-30,Title3Funds,TEXAS,United States,others
020-26876,0001683168-20-002926,3,1,0,unknown,3Q,230,250000,5000,2020-12-31,2020-12-31,1,0.00,Common Stock,10000,0.5,N,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lit IO Inc.,Corporation,2020-01-14,CAMDEN,DE,19934,www.lit-app.io,2020-08-31,IPO Wallet LLC,DELAWARE,United States,others
020-29938,0001882854-22-000002,1,0,0,unknown,1Q,1674,50000,50000,2022-04-15,2022-04-15,1,0.00,Other,500,100,N,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cut Buddy LLC,Limited Liability Company,2017-08-28,Pittsboro,NC,27312,https://thecutbuddy.com/,2022-03-29,Seed At The Table,NORTH CAROLINA,United States,others
020-29209,0001853811-21-000001,2,1,0,unknown,4Q,244,500000,500000,2022-05-31,2022-12-31,1,0.00,Other,5000000,1,Y,"First-come, first-served basis",5000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Opus Squared LLC,Limited Liability Company,2021-03-19,NAPA,CA,94559,https://www.mikebolen.com/,2021-11-18,EquityDoor,CALIFORNIA,United States,others
020-30762,0001941761-22-000001,3,2,0,unknown,3Q,60,2370000,2370000,2023-02-01,2023-02-01,1,0.00,Common Stock,2370000,1,Y,"First-come, first-served basis",5000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92East LLC,Limited Liability Company,2022-06-23,VAN NUYS,CA,91401,www.wevidit.com/,2022-08-22,"WeVidIt, Inc.",CALIFORNIA,United States,others
020-30592,0001940018-22-000003,2,0,0,unknown,3Q,29,25000,25000,2022-10-25,2022-10-25,1,0.00,Common Stock,25000,1,Y,"First-come, first-served basis",5000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AnyOneUp, INC.",Corporation,2022-06-28,Round Rock,TX,78665,www.anyoneup.com,2022-07-27,Dealmaker,TEXAS,United States,others
020-30908,0001943086-22-000001,1,0,0,unknown,3Q,102,500000,500000,2023-01-15,2023-01-15,1,0.00,Common Stock,1666667,0.3,Y,"First-come, first-served basis",2025000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"List Movie Production, LLC",Limited Liability Company,2022-06-04,BRANDON,MS,39047,https://stealthenaughtylist.com/,2022-09-14,"WeVidIt, Inc.",MISSISSIPPI,United States,others
020-30033,0001746059-22-000153,3,1,0,unknown,2Q,695,250000,250000,2022-07-15,2022-07-22,1,0.00,Debt,,1,Y,"First-come, first-served basis",2000000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GreenHouse Cannabis Group Inc.,Corporation,2020-05-18,MILLERS FALLS,MA,1349,http://www.thegreenhouseinc.io,2022-04-13,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
020-31438,0001665160-22-003026,2,0,0,unknown,4Q,251,14999.53,14999.53,2023-02-05,2023-02-05,1,0.00,Common Stock,16483,0.91,Y,Other,1234998.31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inbox Beverage, Inc.",Corporation,2022-03-31,ASHEVILLE,NC,28803,https://www.inboxbeverage.com/,2022-12-07,StartEngine,NORTH CAROLINA,United States,StartEngine
020-26838,0001821550-20-000001,1,0,0,unknown,3Q,28,50000,50000,2021-08-21,2021-08-21,1,0.00,Other,214000,5,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hermesus Investments Inc.,Corporation,2020-07-31,DEL MAR,CA,92014,https://hermesus.com,2020-08-28,"G.F. INVESTMENT SERVICES, LLC",CALIFORNIA,United States,others
020-27023,0001827582-20-000003,1,0,0,unknown,4Q,10,50000,50000,2021-09-30,2021-09-30,1,0.00,Other,214000,,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BA Markets 1, LLC",Limited Liability Company,2020-09-28,DEL MAR,CA,92014,https://bitcoinalley.com,2020-10-08,"G.F. INVESTMENT SERVICES, LLC",CALIFORNIA,United States,others
020-27389,0001670254-20-001189,4,2,0,unknown,4Q,334,50000,50000,2021-03-04,2022-04-30,1,0.00,Preferred Stock,125000,0.5,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oxford Hounds Inc.,Corporation,2020-01-24,Scottsdale,AZ,58260,http://www.oxfordhounds.com,2020-12-23,Wefunder Portal LLC,ARIZONA,United States,Wefunder Portal LLC
020-27668,0001670254-21-000191,1,0,0,unknown,1Q,1076,100000,100000,2022-04-30,2022-04-30,1,0.00,Other,100000,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EFORMSPILOT CORP,Corporation,2018-03-15,Naperville,IL,60540,http://www.smartfieldforms.com,2021-02-23,Wefunder Portal LLC,ILLINOIS,United States,Wefunder Portal LLC
020-28789,0001670254-21-001058,2,1,0,unknown,3Q,341,100000,100000,2022-04-30,2022-04-30,1,0.00,Other,100000,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prewrite Inc.,Corporation,2020-10-14,Greenville,SC,29607,https//prewrite.com,2021-09-20,Wefunder Portal LLC,SOUTH CAROLINA,United States,Wefunder Portal LLC
020-26346,0001670254-20-000301,2,1,0,unknown,2Q,31,100000,100000,2020-08-17,2020-09-30,1,0.00,Other,100000,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kingmakers Ops LLC,Limited Liability Company,2020-03-27,Seattle,WA,98104,http://kingmakers.co,2020-04-27,Wefunder Portal LLC,WASHINGTON,United States,Wefunder Portal LLC
020-28452,0001670254-21-000866,3,1,0,unknown,3Q,141,50000,50000,2022-04-30,2023-04-30,1,0.00,Other,50000,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swopblock LLC,Limited Liability Company,2021-03-04,Martinsburg,PA,16662,https://swopblock.org,2021-07-23,Wefunder Portal LLC,PENNSYLVANIA,United States,Wefunder Portal LLC
020-27368,0001670254-20-001176,2,1,0,unknown,4Q,137,50000,50000,2021-04-08,2022-04-30,1,0.00,Other,50000,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Avinu Media Inc.,Corporation,2020-08-06,Lauderdale by the Sea,FL,33308,https://www.avinumedia.com,2020-12-21,Wefunder Portal LLC,FLORIDA,United States,Wefunder Portal LLC
020-26789,0001706668-20-000004,4,2,0,unknown,3Q,1200,25000,25000,2021-02-22,2021-03-01,1,0.00,Other,25000,1,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LifeDNA, Inc",Corporation,2017-05-08,Honolulu,HI,96814,www.lifedna.com,2020-08-20,MicroVenture Marketplace Inc.,HAWAII,United States,MicroVenture Marketplace Inc.
020-25154,0001665160-19-000154,2,0,0,unknown,1Q,141,10000,10000,2019-05-08,2019-05-08,1,0.00,Other,15625,0.64,Y,Other,1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4Good Inc.,Corporation,2018-09-19,Stamford,CT,6902,www.4Good.app,2019-02-07,StartEngine,CONNECTICUT,United States,StartEngine
020-29708,0001910645-22-000001,2,1,0,unknown,1Q,46,500000,500000,2022-03-31,2022-04-13,1,0.00,Common Stock,500,1000,Y,"First-come, first-served basis",1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Farm Fresh Mi, LLC",Limited Liability Company,2022-01-01,BRIGHTON,MI,48116,Farmfreshmi.com,2022-02-16,Infrashares,MICHIGAN,United States,others
020-27079,0001823850-20-000002,3,2,0,unknown,4Q,238,100000,100000,2021-10-31,2021-11-30,1,0.00,Other,100,2000,Y,"First-come, first-served basis",1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"619 Sombrero, LLC",Limited Liability Company,2020-02-27,Marathon,FL,33050,Floridakeysvacationvillas.com,2020-10-22,EquityDoor,FLORIDA,United States,others
020-30905,0001746059-22-000337,3,1,0,unknown,3Q,25,400000,400000,2022-12-30,2022-12-30,1,0.00,Debt,,1,Y,"First-come, first-served basis",1070000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ostara Center LLC,Limited Liability Company,2022-08-19,ACTON,MA,1720,http://ostaracenter.com,2022-09-13,"MainVest, Inc.",MASSACHUSETTS,United States,"MainVest, Inc."
